APN,Id,bonus_unit
125-372-01,,No
125-372-04,,No
125-372-07,,No
125-372-10,,No
125-372-13,,No
125-372-16,,No
125-373-03,,No
125-373-05,,No
125-373-06,,No
125-373-08,,No
125-373-11,,No
125-373-14,,No
125-373-17,,No
125-373-20,,No
125-373-23,,No
125-381-01,,No
125-382-01,,No
125-382-03,,No
125-382-06,,No
125-382-09,,No
125-382-12,,No
125-382-17,,No
125-383-01,,No
125-384-02,,No
125-385-01,,No
125-386-01,,No
125-386-04,,No
125-386-07,,No
125-391-01,,No
125-391-04,,No
125-391-07,,No
125-392-01,,No
125-393-01,,No
125-393-04,,No
125-411-01,,No
125-411-04,,No
125-411-07,,No
125-411-10,,No
125-411-12,,No
125-411-13,,No
125-411-15,,No
125-411-18,,No
125-412-01,,No
125-412-04,,No
125-412-07,,No
125-412-10,,No
125-413-01,,No
125-413-02,,No
125-413-04,,No
125-413-07,,No
125-413-10,,No
125-413-13,,No
125-413-16,,No
125-421-02,,No
125-421-05,,No
125-421-07,,No
125-421-10,,No
125-421-13,,No
125-422-03,,No
125-422-06,,No
125-422-09,,No
125-431-02,,No
125-431-04,,No
125-431-07,,No
125-431-10,,No
125-431-13,,No
125-431-16,,No
125-431-19,,No
125-431-22,,No
125-431-24,,No
125-431-25,,No
125-432-02,,No
125-432-05,,No
125-432-08,,No
125-432-11,,No
125-433-02,,No
125-441-02,,No
125-441-04,,No
125-441-05,,No
125-441-07,,No
125-441-10,,No
125-441-13,,No
125-441-16,,No
125-441-19,,No
125-442-01,,No
125-442-04,,No
125-442-06,,No
125-442-09,,No
125-443-02,,No
125-443-06,,No
125-443-09,,No
125-443-12,,No
125-443-15,,No
125-443-17,,No
125-443-19,,No
125-451-02,0,Yes
125-451-05,0,Yes
125-451-08,0,Yes
125-451-11,0,Yes
125-451-14,0,Yes
125-461-02,0,Yes
125-461-04,0,Yes
125-461-05,0,Yes
125-461-07,0,Yes
125-462-03,0,Yes
125-462-06,0,Yes
125-463-02,0,Yes
125-463-05,0,Yes
125-463-09,0,Yes
125-463-12,0,Yes
125-463-14,0,Yes
125-463-17,0,Yes
125-463-20,0,Yes
125-471-04,0,Yes
125-471-10,0,Yes
125-472-02,0,Yes
125-472-07,0,Yes
125-472-09,0,Yes
125-481-02,0,Yes
125-481-05,0,Yes
125-482-01,0,Yes
125-482-04,0,Yes
125-482-07,0,Yes
125-482-10,0,Yes
125-482-12,0,Yes
125-482-13,0,Yes
125-482-17,0,Yes
125-482-20,0,Yes
125-482-23,0,Yes
125-482-26,0,Yes
125-482-29,0,Yes
125-482-32,0,Yes
125-482-34,0,Yes
125-482-35,0,Yes
125-482-37,0,Yes
125-482-40,0,Yes
125-491-03,0,Yes
125-491-06,0,Yes
125-491-09,0,Yes
125-491-12,0,Yes
125-491-15,0,Yes
125-492-02,0,Yes
125-492-07,0,Yes
125-492-10,0,Yes
125-492-13,0,Yes
125-492-16,,No
125-492-19,0,Yes
125-492-22,0,Yes
125-492-24,0,Yes
125-492-27,0,Yes
125-492-30,0,Yes
125-501-03,,No
125-501-06,,No
125-501-09,,No
125-501-12,,No
125-502-01,,No
125-502-02,,No
125-502-04,,No
125-502-07,,No
125-502-10,,No
125-502-13,,No
125-503-02,,No
125-503-05,,No
125-503-07,,No
125-503-08,,No
125-503-10,,No
125-503-13,,No
125-503-16,,No
125-503-19,0,Yes
125-503-22,0,Yes
125-503-28,,No
125-511-02,0,Yes
125-511-04,0,Yes
125-511-09,,No
125-511-12,,No
125-511-15,,No
