ScoreSheetUrl,APN,Status,ParcelNickname,IPESScore,IPESType,BaseAllowableCoveragePercent,IPESTotalAllowableCoverageSqFt,ParcelHasDOAC,HistoricOrImportedIpesScore,CalculationDate,FieldEvaluationDate,RelativeErosionHazardScore,RunoffPotentialScore,AccessScore,UtilityInSEZScore,ConditionOfWatershedScore,AbilityToRevegetateScore,WaterQualityImprovementsScore,ProximityToLakeScore,LimitedIncentivePoints,TotalParcelArea,IPESBuildingSiteArea,SEZLandArea,SEZSetbackArea,InternalNotes,PublicNotes
https://parcels.laketahoeinfo.org/IpesScore/Detail/5533,033-612-001,Active,,0,Official,0%,,Unknown,Yes,12/19/2016 16:38,,0,0,0,0,0,0,0,0,0,,21500,21500,0,,
https://parcels.laketahoeinfo.org/IpesScore/Detail/24839,033-613-006,Active,,918,Official,27%,3584,No,No,10/13/2022 8:41,10/4/2022 0:00,409,98,170,110,36,25,20,50,0,13274,13274,0,0,,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5534,033-613-007,Active,,792,Inactive,17%,,Unknown,Yes,12/19/2016 16:38,,379,15,170,110,36,20,20,50,0,,,18300,900,,
https://parcels.laketahoeinfo.org/IpesScore/Detail/24844,033-613-007,Active,,801,Official,17%,2468,Yes,No,11/1/2022 8:44,10/28/2022 0:00,380,15,170,110,36,20,20,50,0,21992,14520,556,0,,DOAC- the building site contains SEZ
https://parcels.laketahoeinfo.org/IpesScore/Detail/5535,033-621-001,Active,,698,Official,3%,,Unknown,Yes,12/19/2016 16:38,,266,44,131,110,36,21,50,40,0,,13900,0,0,,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5536,033-623-011,Active,,457,Official,1%,,Unknown,Yes,12/19/2016 16:38,,232,34,35,10,36,25,50,40,0,,13900,5500,1300,,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5537,033-623-012,Active,,639,Official,1%,,Unknown,Yes,4/10/2017 0:00,,228,34,120,110,36,21,50,40,0,,31187,0,0,"This parcel was originally a IPES ""0' score. Parcelinfluenced by a man-modified utitlity failure ground water source. Legal division conferred that new initial IPES should be allowed given the compelling evidence for man -induced utility failure SEZ.TH, 10-23-06.",
https://parcels.laketahoeinfo.org/IpesScore/Detail/5538,033-623-012,Active,,0,Information Only,1%,,Unknown,Yes,6/25/2003 0:00,,0,0,0,0,0,0,50,0,0,,31100,31100,0,,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5539,033-623-021,Active,,530,Official,1%,,Unknown,Yes,12/19/2016 16:38,,180,34,59,110,36,21,50,40,0,,33800,0,0,,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5540,033-624-001,Active,,581,Information Only,0%,,Unknown,Yes,,,238,34,90,110,36,21,12,40,0,,26700,0,0,,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5541,033-624-001,Active,,611,Official,2%,,Unknown,Yes,12/19/2016 16:38,,238,34,90,110,36,21,42,40,0,,26700,0,0,WQ points awarded 4/22/16,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5542,033-631-003,Active,,751,Official,0%,,Unknown,Yes,12/19/2016 16:38,,160,200,158,110,36,25,12,50,0,,24300,0,1500,,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5543,033-631-004,Active,,816,Official,23%,5389,Unknown,Yes,12/19/2016 16:38,,225,200,158,110,36,25,12,50,0,,24300,0,0,,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5544,033-631-007,Active,,654,Official,1%,,Unknown,Yes,12/19/2016 16:38,,218,44,149,110,36,35,12,50,0,,23700,0,0,,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5545,033-631-011,Active,,909,Official,27%,,Unknown,Yes,12/19/2016 16:38,,306,200,170,110,36,25,12,50,0,,17700,2200,2200,,
