TAZ,TRPAID,Residential_Units,TouristAccommodation_Units,CommercialFloorArea_SqFt,Total_Res_Units,Total_TA_Units,Total_CommercialFloorArea_SqFt,Residential_Units_Proportion,TouristAccommodation_Units_Proportion,CommercialFloorArea_SqFt_Proportion
244,3200500160022020,0,0,0,0,0,0,0.0,0.0,0.0
245,3251000030022020,1,0,0,1,0,0,1.0,0.0,0.0
246,3251000030022020,0,0,0,0,0,0,0.0,0.0,0.0
247,3251000030022020,0,0,0,0,0,0,0.0,0.0,0.0
248,3251000030022020,0,0,0,0,0,0,0.0,0.0,0.0
249,3251000030022020,0,0,0,0,0,0,0.0,0.0,0.0
250,3251000030022020,0,0,0,0,0,0,0.0,0.0,0.0
251,3251000030022020,0,0,0,0,0,0,0.0,0.0,0.0
252,3203100331022020,0,0,0,0,0,0,0.0,0.0,0.0
253,3203100331022020,0,0,0,0,0,0,0.0,0.0,0.0
254,3203100331022020,0,0,0,0,0,0,0.0,0.0,0.0
258,3203100330722020,1,0,0,1,0,0,1.0,0.0,0.0
258,3203100331022020,0,0,0,1,0,0,0.0,0.0,0.0
259,3203100330722020,1,0,0,5,0,0,0.2,0.0,0.0
259,3203100331022020,4,0,0,5,0,0,0.8,0.0,0.0
260,3203100330722020,126,0,0,126,0,0,1.0,0.0,0.0
261,3203100330722020,388,38,54089,388,38,54089,1.0,1.0,1.0
262,3203100330712020,158,16,10284,158,16,10284,1.0,1.0,1.0
263,3203100330622020,0,0,0,0,6,0,0.0,0.0,0.0
