taz,Alternative_1_total_residential_units,Alternative_1_total_occ_units,Alternative_1_occ_units_low_inc,Alternative_1_occ_units_med_inc,Alternative_1_occ_units_high_inc,Alternative_1_total_persons,Alternative_2_total_residential_units,Alternative_2_total_occ_units,Alternative_2_occ_units_low_inc,Alternative_2_occ_units_med_inc,Alternative_2_occ_units_high_inc,Alternative_2_total_persons,Alternative_3_total_residential_units,Alternative_3_total_occ_units,Alternative_3_occ_units_low_inc,Alternative_3_occ_units_med_inc,Alternative_3_occ_units_high_inc,Alternative_3_total_persons,diff_Alternative_3_vs_Alternative_2_total_residential_units,diff_Alternative_3_vs_Alternative_2_total_occ_units,diff_Alternative_3_vs_Alternative_2_occ_units_low_inc,diff_Alternative_3_vs_Alternative_2_occ_units_med_inc,diff_Alternative_3_vs_Alternative_2_occ_units_high_inc,diff_Alternative_3_vs_Alternative_2_total_persons
239,111.0,29,15,7,7,59,113.0,32,14,7,11,65,111.0,30,15,8,7,61,-2.0,-2,1,1,-4,-4
240,5.0,1,0,0,1,2,5.0,1,0,0,1,2,5.0,1,0,0,1,2,0.0,0,0,0,0,0
241,363.0,106,24,23,59,243,364.0,106,17,24,65,243,363.0,109,24,25,60,251,-1.0,3,7,1,-5,8
242,113.0,40,15,8,17,92,117.0,44,13,9,22,101,113.0,41,15,9,17,95,-4.0,-3,2,0,-5,-6
243,122.0,25,5,3,17,51,124.0,26,5,3,18,53,122.0,26,5,3,18,52,-2.0,0,0,0,0,-1
244,218.0,52,14,8,30,105,219.0,53,10,9,34,107,218.0,54,14,9,31,108,-1.0,1,4,0,-3,1
245,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
246,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
247,103.0,18,1,1,16,36,106.0,21,4,1,16,42,103.0,19,1,1,17,38,-3.0,-2,-3,0,1,-4
248,390.0,115,28,33,54,305,394.0,119,30,33,56,316,390.0,119,28,36,55,315,-4.0,0,-2,3,-1,-1
249,656.0,196,53,61,82,520,666.0,206,57,62,87,547,656.0,202,53,66,83,537,-10.0,-4,-4,4,-4,-10
250,0.0,0,0,0,0,0,1.0,1,0,1,0,3,0.0,0,0,0,0,0,-1.0,-1,0,-1,0,-3
251,334.0,108,39,16,53,205,337.0,111,37,16,58,211,334.0,111,39,17,55,212,-3.0,0,2,1,-3,1
252,78.0,26,11,3,12,53,80.0,28,13,3,12,58,78.0,27,11,3,13,55,-2.0,-1,-2,0,1,-3
253,242.0,92,43,13,36,178,261.0,110,34,23,53,213,242.0,95,43,14,38,184,-19.0,-15,9,-9,-15,-29
254,277.0,63,7,12,44,104,278.0,64,7,12,45,105,277.0,65,7,13,45,107,-1.0,1,0,1,0,2
255,50.0,16,5,3,8,28,50.0,16,4,3,9,28,50.0,17,5,3,9,29,0.0,1,1,0,0,1
256,5.0,1,0,0,1,2,5.0,1,0,0,1,2,5.0,1,0,0,1,2,0.0,0,0,0,0,0
257,49.0,28,17,5,6,48,52.0,29,9,6,14,50,49.0,29,17,5,7,50,-3.0,0,8,-1,-7,0
258,1.0,0,0,0,0,0,1.0,0,0,0,0,0,1.0,0,0,0,0,0,0.0,0,0,0,0,0
259,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
260,264.0,96,47,11,38,205,265.0,97,44,12,41,207,264.0,99,47,12,40,211,-1.0,2,3,0,-1,4
261,8.0,3,2,0,1,6,8.0,3,1,0,2,6,8.0,3,2,0,1,6,0.0,0,1,0,-1,0
262,12.0,4,1,0,3,8,30.0,22,1,0,21,44,12.0,4,1,0,3,8,-18.0,-18,0,0,-18,-36
263,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
264,63.0,23,8,2,13,64,63.0,23,8,2,13,64,63.0,24,8,2,14,66,0.0,1,0,0,1,2
265,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
266,738.0,257,119,45,93,647,752.0,271,118,47,106,683,738.0,265,119,49,97,668,-14.0,-6,1,2,-9,-15
267,693.0,154,45,53,56,308,699.0,159,45,54,60,318,693.0,159,45,57,57,318,-6.0,0,0,3,-3,0
268,172.0,38,9,13,16,78,172.0,38,9,13,16,78,172.0,39,9,14,16,81,0.0,1,0,1,0,3
