TAZ,Residential_Units,OccupiedUnits,SeasonalUnits,People,People_raw,LowUnits,MediumUnits,HighUnits
349,0,0,0.0,0,0.0,0,0,0
350,0,0,0.0,0,0.0,0,0,0
351,0,0,0.0,0,0.0,0,0,0
352,0,0,0.0,0,0.0,0,0,0
353,0,0,0.0,0,0.0,0,0,0
354,3,1,2.0135299534978905,4,3.946505376344086,0,0,1
358,10,5,7.818230492500324,14,13.34012772701846,1,1,4
359,3,1,2.0135299534978905,4,3.9465053763440863,0,0,1
360,142,70,117.75249664833508,195,190.55633911368017,6,4,60
361,409,203,339.1603600645708,561,548.8559344894027,18,10,174
362,167,50,102.40930407534233,92,89.58001655629138,25,8,17
363,0,0,0.0,0,0.0,0,0,0
364,359,108,220.1493422937,197,192.57021523178807,53,17,37
365,27,8,16.557192874456547,15,14.48299668874172,4,1,3
366,1,0,0.6711766511659635,0,1.3155017921146954,0,0,0
367,613,304,411.43128716473564,824,806.4025985663083,62,76,167
368,3,1,2.0135299534978905,4,3.946505376344086,0,0,1
369,421,205,286.57600408332536,484,473.3569893899204,40,40,125
370,416,212,297.1748399871461,490,479.42390982091695,43,45,125
371,53,28,45.64035964035964,54,52.92885906040268,4,9,15
372,186,97,160.17182817182817,190,185.7503355704698,15,31,51
373,463,241,398.7072927072927,473,462.37852348993283,37,76,127
374,624,417,451.789156626506,1040,1017.2956444444444,130,61,226
375,76,29,59.46673849158062,66,64.56905389221556,6,9,14
376,642,247,502.33744883677315,557,545.4385868263473,52,75,120
377,156,86,105.86149360549847,214,209.50981021928268,35,18,33
378,284,222,151.4283579766537,590,577.598606271777,121,33,68
379,139,109,74.11458365758754,289,282.6979094076655,59,16,33
380,6,3,4.66439744045503,6,5.915550181378476,1,1,1
381,200,95,155.47991468183434,202,197.18500604594922,34,29,31
382,246,117,191.24029505865622,248,242.53755743651755,42,36,39
383,323,153,251.10006221116245,325,318.45378476420797,55,47,51
384,0,0,0.0,0,0.0,0,0,0
385,0,0,0.0,0,0.0,0,0,0
386,182,110,132.2871391967151,245,239.59868772782505,9,7,94
387,518,314,377.93558222922644,699,684.3435478120789,26,21,267
388,15,4,11.55584053526624,7,6.724278438030561,1,0,3
389,91,38,63.93846851922764,84,82.01728554273173,16,3,20
390,1,0,0.7773995734091717,0,0.9859250302297461,0,0,0
391,665,425,545.7595492155748,964,943.1966486003181,54,26,345
392,0,0,0.0,0,0.0,0,0,0
393,104,29,80.12049437784593,48,46.62166383701189,8,0,21
394,262,73,201.84201468265033,120,117.4507300509338,19,0,54
395,38,11,29.274796022674476,17,17.03483870967742,3,0,8
396,86,24,66.25348573552644,39,38.552529711375215,6,0,18
397,22,6,16.948566118390485,10,9.862275042444823,2,0,5
